#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Tue Apr 19 21:09:53 EDT 2022,0,0,A7GeneralStyleSuite, , ,A7AccessModifiersMatched+ A7InterfaceAsType+ A7MnemonicNames+ A7NamedConstants+ A7NoCheckstyleWarnings+ A7PublicMethodsOverride+ ,A7ExpectedCalls A7ExpectedSignatures A7ProjectOrganization A7TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic ,0,0,true,A7AccessModifiersMatched A7InterfaceAsType A7MnemonicNames A7NamedConstants A7NoCheckstyleWarnings A7PublicMethodsOverride , ,A7AccessModifiersMatched A7MnemonicNames A7NoCheckstyleWarnings ,A7AccessModifiersMatched-(0.0/5.0) A7InterfaceAsType-(0.0/10.0) A7MnemonicNames-(0.0/10.0) A7NamedConstants-(0.0/1.0) A7NoCheckstyleWarnings-(0.0/10.0) A7PublicMethodsOverride-(0.0/10.0) , ,
1,Tue Apr 19 21:12:40 EDT 2022,13,13,A7GeneralStyleSuite,A7MnemonicNames+ A7NamedConstants+ A7PublicMethodsOverride+ ,A7AccessModifiersMatched+ A7InterfaceAsType+ ,A7NoCheckstyleWarnings ,A7ExpectedCalls A7ExpectedSignatures A7ProjectOrganization A7TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic ,1,0,true,A7AccessModifiersMatched A7InterfaceAsType A7MnemonicNames A7NamedConstants A7NoCheckstyleWarnings A7PublicMethodsOverride , ,A7AccessModifiersMatched A7MnemonicNames A7NoCheckstyleWarnings ,A7AccessModifiersMatched-(1.2/5.0) A7InterfaceAsType-(9.4/10.0) A7MnemonicNames-(10.0/10.0) A7NamedConstants-(1.0/1.0) A7NoCheckstyleWarnings-(0.0/10.0) A7PublicMethodsOverride-(10.0/10.0) , ,
2,Tue Apr 19 21:12:43 EDT 2022,13,0,A7GeneralStyleSuite,A7MnemonicNames A7NamedConstants A7PublicMethodsOverride ,A7AccessModifiersMatched A7InterfaceAsType ,A7NoCheckstyleWarnings ,A7ExpectedCalls A7ExpectedSignatures A7ProjectOrganization A7TaggedClassesDefined GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic ,1,1,true,A7AccessModifiersMatched A7InterfaceAsType A7MnemonicNames A7NamedConstants A7NoCheckstyleWarnings A7PublicMethodsOverride , ,A7AccessModifiersMatched A7MnemonicNames A7NoCheckstyleWarnings ,A7AccessModifiersMatched-(1.2/5.0) A7InterfaceAsType-(9.4/10.0) A7MnemonicNames-(10.0/10.0) A7NamedConstants-(1.0/1.0) A7NoCheckstyleWarnings-(0.0/10.0) A7PublicMethodsOverride-(10.0/10.0) , ,
3,Tue Apr 19 21:12:46 EDT 2022,13,0,A7SpecificStyleSuite,A7MnemonicNames A7NamedConstants A7PublicMethodsOverride ,A7AccessModifiersMatched A7InterfaceAsType A7TaggedClassesDefined+ ,A7ExpectedCalls+ A7ExpectedSignatures+ A7NoCheckstyleWarnings A7ProjectOrganization+ ,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic ,1,2,true,A7ExpectedCalls A7ExpectedSignatures A7ProjectOrganization A7TaggedClassesDefined , ,A7ProjectOrganization ,A7ExpectedCalls-(0.0/20.0) A7ExpectedSignatures-(0.0/5.0) A7ProjectOrganization-(0.0/3.0) A7TaggedClassesDefined-(5.5/10.0) , ,
4,Tue Apr 19 21:12:51 EDT 2022,13,0,A7SpecificStyleSuite,A7MnemonicNames A7NamedConstants A7PublicMethodsOverride ,A7AccessModifiersMatched A7InterfaceAsType A7TaggedClassesDefined ,A7ExpectedCalls A7ExpectedSignatures A7NoCheckstyleWarnings A7ProjectOrganization ,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic ,1,3,true,A7ExpectedCalls A7ExpectedSignatures A7ProjectOrganization A7TaggedClassesDefined , ,A7ProjectOrganization ,A7ExpectedCalls-(0.0/20.0) A7ExpectedSignatures-(0.0/5.0) A7ProjectOrganization-(0.0/3.0) A7TaggedClassesDefined-(5.5/10.0) , ,
5,Tue Apr 19 21:13:03 EDT 2022,13,0,Assignment7OneClientSuite,A7MnemonicNames A7NamedConstants A7PublicMethodsOverride ,A7AccessModifiersMatched A7InterfaceAsType A7TaggedClassesDefined ,A7ExpectedCalls A7ExpectedSignatures A7NoCheckstyleWarnings A7ProjectOrganization GIPCRMINIOOneClientConnection+ GIPCRMINIOOneClientReadWriteAtomic+ GIPCRMINIOOneClientReadWriteNonAtomic+ GIPCRMINIOStaticArguments+ ,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic ,1,4,true,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , , ,GIPCRMINIOOneClientConnection-(0.0/20.0) GIPCRMINIOOneClientReadWriteAtomic-(0.0/20.0) GIPCRMINIOOneClientReadWriteNonAtomic-(0.0/20.0) GIPCRMINIOStaticArguments-(0.0/20.0) , ,
6,Tue Apr 19 21:13:35 EDT 2022,13,0,GIPCRMINIOStaticArguments,A7MnemonicNames A7NamedConstants A7PublicMethodsOverride ,A7AccessModifiersMatched A7InterfaceAsType A7TaggedClassesDefined ,A7ExpectedCalls A7ExpectedSignatures A7NoCheckstyleWarnings A7ProjectOrganization GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments ,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic ,1,5,false, , , ,GIPCRMINIOStaticArguments-(0.0/20.0) , ,
7,Tue Apr 19 21:14:04 EDT 2022,13,0,Assignment7TwoClientSuite,A7MnemonicNames A7NamedConstants A7PublicMethodsOverride ,A7AccessModifiersMatched A7InterfaceAsType A7TaggedClassesDefined ,A7ExpectedCalls A7ExpectedSignatures A7NoCheckstyleWarnings A7ProjectOrganization GIPCRMINIOClientMetaStateBroadcast+ GIPCRMINIOClientMetaStateNoBroadcast+ GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast+ GIPCRMINIOServerMetaStateNoBroadcast+ GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection+ GIPCRMINIOTwoClientReadWriteAtomic+ GIPCRMINIOTwoClientReadWriteAtomicConsensus+ GIPCRMINIOTwoClientReadWriteNonAtomic+ , ,1,6,true,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic , ,GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast ,GIPCRMINIOClientMetaStateBroadcast-(0.0/5.0) GIPCRMINIOClientMetaStateNoBroadcast-(0.0/5.0) GIPCRMINIOServerMetaStateBroadcast-(0.0/5.0) GIPCRMINIOServerMetaStateNoBroadcast-(0.0/5.0) GIPCRMINIOTwoClientConnection-(0.0/20.0) GIPCRMINIOTwoClientReadWriteAtomic-(0.0/20.0) GIPCRMINIOTwoClientReadWriteAtomicConsensus-(0.0/20.0) GIPCRMINIOTwoClientReadWriteNonAtomic-(0.0/20.0) , ,
8,Tue Apr 19 21:55:09 EDT 2022,13,0,Assignment7OneClientSuite,A7MnemonicNames A7NamedConstants A7PublicMethodsOverride ,A7AccessModifiersMatched A7InterfaceAsType A7TaggedClassesDefined GIPCRMINIOStaticArguments+ ,A7ExpectedCalls A7ExpectedSignatures A7NoCheckstyleWarnings A7ProjectOrganization GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic , ,2,0,true,GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments , , ,GIPCRMINIOOneClientConnection-(0.0/20.0) GIPCRMINIOOneClientReadWriteAtomic-(0.0/20.0) GIPCRMINIOOneClientReadWriteNonAtomic-(0.0/20.0) GIPCRMINIOStaticArguments-(18.2/20.0) , ,
9,Tue Apr 19 21:56:37 EDT 2022,13,0,GIPCRMINIOStaticArguments,A7MnemonicNames A7NamedConstants A7PublicMethodsOverride ,A7AccessModifiersMatched A7InterfaceAsType A7TaggedClassesDefined GIPCRMINIOStaticArguments ,A7ExpectedCalls A7ExpectedSignatures A7NoCheckstyleWarnings A7ProjectOrganization GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientConnection GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomicConsensus GIPCRMINIOTwoClientReadWriteNonAtomic , ,2,1,false, , , ,GIPCRMINIOStaticArguments-(18.2/20.0) , ,
