Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Fri Jan 21 13:52:15 EST 2022,A1Tests.java,1642791135047,68671,0,(I)10,1.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,[]
,/modelData/A0UserStudy2010.arff,Fri Jan 21 13:52:15 EST 2022,A1Tests.java, 1642791135047
2,,Fri Jan 21 13:53:24 EST 2022,MapReduceConfiguration.java,1642791204037,57398,0,(I)1(D)1(F)1(D)2(F)1(I)2,0.375,37.5,0.0,25.0,0.0,0.0,0.14035087719298245,0.0,0.05263157894736842,0.03508771929824561,0.0,0.0,0.05263157894736842,0.0,[]
3,,Fri Jan 21 13:54:22 EST 2022,MapReduceConfiguration.java,1642791262829,155178,0,(I)1(F)4(I)3(R)2(I)2,0.5,0.0,0.0,33.33333333333333,0.0,0.0,0.07741935483870968,0.0,0.0,0.025806451612903226,0.0,0.012903225806451613,0.03870967741935484,1.0,[]
4,,Fri Jan 21 13:56:54 EST 2022,MapReduceConfiguration.java,1642791414702,285536,0,(I)1(F)4(I)4(R)1(I)2,0.5833333333333334,0.0,0.0,33.33333333333333,0.0,0.0,0.042105263157894736,0.0,0.0,0.014035087719298246,0.0,0.0035087719298245615,0.02456140350877193,8.0,[1642791476707 5 COMP 533 (2 unread) https://piazza.com/class/kxx594eo8fl3y2?cid=36, 1642791486886 3 COMP 533 (2 unread) https://piazza.com/class/kxx594eo8fl3y2?cid=37, 1642791491025 2 COMP 533 (2 unread) https://piazza.com/class/kxx594eo8fl3y2?cid=39, 1642791545555 3 COMP 533 (2 unread) https://piazza.com/class/kxx594eo8fl3y2?cid=49, 1642791543200 3 COMP 533 (2 unread) https://piazza.com/class/kxx594eo8fl3y2?cid=48, 1642791522751 2 COMP 533 (2 unread) https://piazza.com/class/kxx594eo8fl3y2?cid=45, 1642791674075 1 java - Why am I getting the warning :Class is a raw type. References to generic type Class<T> should be parameterized"? - Stack Overflow https://stackoverflow.com/questions/20451096/why-am-i-getting-the-warning-class-is-a-raw-type-references-to-generic-type-cl/20451127]
5,,Fri Jan 21 14:01:40 EST 2022,MapReduceConfiguration.java,1642791700377,35443,0,(I)6(R)3(I)3(R)1(I)2(R)1(I)1(R)1,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5142857142857142,0.0,0.0,0.0,0.0,0.17142857142857143,0.34285714285714286,0.0,[]
6,,Fri Jan 21 14:02:16 EST 2022,MapReduceConfiguration.java,1642791736590,17147,0,(I)4(R)1(I)1(R)2(I)4,0.75,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.0,0.0,0.0,0.0,0.17647058823529413,0.5294117647058824,0.0,[]
7,,Fri Jan 21 14:02:33 EST 2022,MapReduceConfiguration.java,1642791753745,26702,0,(I)12,1.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,[]
8,,Fri Jan 21 14:03:00 EST 2022,MapReduceConfiguration.java,1642791780482,12718,0,(I)9,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,[]
9,,Fri Jan 21 14:03:16 EST 2022,MapReduceConfiguration.java,1642791796341,8463,8463,(I)17,1.0,0.0,0.0,0.0,0.0,0.0,2.125,0.0,0.0,0.0,0.0,0.0,2.125,0.0,[]
